t_recv	match_id	node_id	arm_state	alive	hp	armor	ammo	shots	pool_src	synced
1789338636041	None	node-008a563e38	connected	False	0	0	0	0	model	False
1789338638050	None	node-008a563e38	connected	False	0	0	0	0	model	True
1789338825100	None	node-daeed47068	kitted	False	0	0	0	0	model	False
1789338827103	None	node-daeed47068	kitted	False	0	0	0	0	model	True
1789338918496	None	node-008a563e38	kitted	False	0	0	0	0	model	True
1789338935140	None	node-daeed47068	lobby	False	0	0	0	0	model	True
1789338936533	None	node-008a563e38	lobby	False	0	0	1	0	gun	True
1789338937140	None	node-daeed47068	lobby	False	0	0	1	0	model	True
1789338972606	fba981640d	node-008a563e38	armed	False	0	0	1	0	gun	True
1789338973180	fba981640d	node-daeed47068	armed	False	0	0	1	0	model	True
1789338982611	fba981640d	node-008a563e38	live	True	50	0	8	0	gun	True
1789338983955	fba981640d	node-daeed47068	live	True	50	0	8	0	gun	True
1789338988617	fba981640d	node-008a563e38	live	True	50	0	7	1	gun	True
1789338990617	fba981640d	node-008a563e38	live	True	50	0	6	2	gun	True
1789338994623	fba981640d	node-008a563e38	live	True	50	0	8	2	gun	True
1789339000969	fba981640d	node-008a563e38	live	True	50	0	7	3	gun	True
1789339006631	fba981640d	node-008a563e38	live	True	50	0	8	3	gun	True
1789339012653	fba981640d	node-008a563e38	live	True	50	0	7	4	gun	True
1789339014654	fba981640d	node-008a563e38	live	True	50	0	6	5	gun	True
1789339019047	fba981640d	node-008a563e38	live	True	50	0	8	5	gun	True
1789339028654	fba981640d	node-008a563e38	live	True	50	0	7	6	gun	True
1789339032656	fba981640d	node-008a563e38	live	True	50	0	8	6	gun	True
1789339038671	fba981640d	node-008a563e38	live	False	0	0	8	6	gun	True
1789339044675	fba981640d	node-008a563e38	live	True	50	0	8	6	gun	True
1789339056699	fba981640d	node-008a563e38	live	True	50	0	7	7	gun	True
1789339060693	fba981640d	node-008a563e38	live	True	50	0	8	7	gun	True
1789339062695	fba981640d	node-008a563e38	live	True	50	0	7	8	gun	True
1789339066754	fba981640d	node-008a563e38	live	True	50	0	8	8	gun	True
1789339080749	fba981640d	node-008a563e38	live	True	50	0	7	9	gun	True
1789339097791	fba981640d	node-daeed47068	live	True	50	0	8	9	gun	False
1789339099709	fba981640d	node-daeed47068	live	True	50	0	7	10	gun	True
1789339101968	fba981640d	node-008a563e38	live	False	0	0	7	9	gun	True
1789339103805	fba981640d	node-daeed47068	live	True	50	0	8	10	gun	True
1789339104760	fba981640d	node-008a563e38	live	True	50	0	8	9	gun	True
1789339110785	fba981640d	node-daeed47068	live	True	50	0	7	11	gun	True
1789339110836	fba981640d	node-008a563e38	live	True	50	0	7	10	gun	True
1789339113717	fba981640d	node-daeed47068	live	True	50	0	8	11	gun	True
1789339120798	fba981640d	node-008a563e38	live	True	50	0	8	10	gun	True
1789339121732	fba981640d	node-daeed47068	live	True	50	0	7	12	gun	True
1789339122797	fba981640d	node-008a563e38	live	True	50	0	7	11	gun	True
1789339124366	fba981640d	node-daeed47068	live	True	50	0	6	13	gun	True
1789339128365	fba981640d	node-daeed47068	live	True	50	0	8	13	gun	True
1789339131720	fba981640d	node-daeed47068	live	True	50	0	7	14	gun	True
1789339132187	fba981640d	node-008a563e38	live	True	50	0	6	12	gun	True
1789339132446	fba981640d	node-008a563e38	live	True	50	0	5	13	gun	True
1789339133156	fba981640d	node-008a563e38	live	True	50	0	8	13	gun	True
1789339133736	fba981640d	node-daeed47068	live	True	50	0	8	14	gun	True
1789339145736	fba981640d	node-daeed47068	live	True	50	0	7	15	gun	True
1789339151765	fba981640d	node-daeed47068	live	True	50	0	6	16	gun	True
1789339153728	fba981640d	node-daeed47068	live	True	50	0	5	17	gun	True
1789339157734	fba981640d	node-daeed47068	live	True	50	0	8	17	gun	True
1789339161728	fba981640d	node-daeed47068	live	True	50	0	7	18	gun	True
1789339167784	fba981640d	node-daeed47068	live	True	50	0	6	19	gun	True
