id,label,status
A103,(Halo) buble shield,new_label
A31,Medical Tape,new_label
CC01,DEATH,new_label
CC02,SPAWN,new_label
CC03,AR,new_label
CC04,SPRAY GUN,new_label
CC05,TAKE HIT,new_label
CC06,BEEP,new_label
CC07,sELECT GAME MODE,new_label
CC08,GAME MUSIC,new_label
CC09,gAME OVER,new_label
CC10,EXPLODE HIT,new_label
CC11,LIVES DEPLETED,new_label
F08,Chainsaw,new_label
G12,possible m4?,new_label
G18,possible m4 or smg x3?,new_label
G19,possible smg x3?,new_label
H01,Acid,new_label
H02,Armor Piercing,new_label
H03,Armor Piercing,new_label
H04,Male Gassed,new_label
H05,"Miss, Ricochet",new_label
H06,"Miss, Ricochet",new_label
H07,"Miss, Ricochet",new_label
H08,broom brushing,new_label
H09,broom brushing,new_label
H10,poison,new_label
H11,Arrow,new_label
H12,Bubble Acid,new_label
H13,Pistol hit,new_label
H14,bullet hit,new_label
H15,Armor Hit,new_label
H16,squishy cut noise,new_label
H17,Energy long hit,new_label
H18,futuristic fly by with heart beat maybe regen,new_label
H19,many smal burning hits,new_label
H20,Electric shock,new_label
H21,Hit on Shield,new_label
H22,Hit on Shield,new_label
H23,poison blaster hit... infected,new_label
H24,metal and glass shatter hit,new_label
H25,metal and glass shatter hit,new_label
H26,knife swipe,new_label
H27,bloody knife swipe,new_label
H28,blades klinging,new_label
H29,Medic capsule healing,new_label
H30,small blast impact,new_label
H31,squishy bubbles,new_label
H32,squishy bubbles,new_label
H33,Ray Gun short,new_label
H34,Stab with blood,new_label
H35,hitting armor,new_label
H36,hitting armor,new_label
H37,hitting armor,new_label
H39,Metal hit with blood,new_label
H40,Sword against shield with squishy,new_label
H41,shocking or acid frying,new_label
H42,small hit with frying sound,new_label
H43,stab with whiping sound,new_label
H44,several thuds,new_label
H45,???,new_label
H46,Electric Burning long,new_label
H47,Gory Squish splatter,new_label
H49,Gory Squish splatter,new_label
H50,Electric shock,new_label
H51,Electric shock,new_label
H52,melee hit with a gong,new_label
H53,melee hit with a gong,new_label
H54,loud hit,new_label
H55,thud-punch,new_label
H56,thud-punch,new_label
H57,Melee hit with gun stock,new_label
H58,Melee hit with gun stock,new_label
J02,offline grenade launcher?,new_label
JA5,Captured flag song,new_label
JA9,Battle company start musig,new_label
JAB,Starting callsign,new_label
JAD,Death music,new_label
JAN,Halo music,new_label
JAO,Halo music,new_label
JAP,Halo music,new_label
JAQ,Time running out,new_label
M05,Shokahn laugh,new_label
M06,Flawless victory,new_label
M07,Flawless victory2,new_label
M08,Fatality,new_label
M09,Fatality,new_label
M10,Fatality,new_label
M11,Choose ur destiny,new_label
M12,Swipe,new_label
M13,Hard hit,new_label
M14,Swing,new_label
M15,Hit and smash,new_label
M16,Another hit,new_label
M17,Another hit,new_label
M18,Knife slice,new_label
M19,Knife hit,new_label
M20,Another hit,new_label
M21,Another hit,new_label
N100,(Halo) Respawn,new_label
N101,(Halo) Shields Down,new_label
N102,(Halo) Shields Recharge,new_label
N25,Heart beat,new_label
N78,Zelda Secret Passage,new_label
R02,Definitely the m4,new_label
R102,Halo 4 sniper,new_label
R103,Halo 4 shotgun,new_label
R108,Halo 4 Beam Rifle,new_label
R110,Halo 4 Plasma Pistol standard shot,new_label
R111,Halo 4 plasma Pistol charge ramp up,new_label
R112,Halo 4 plasma Pistol charge max,new_label
R113,Halo 4 plasma Pistol charge shot,new_label
R120,Halo Spartan Lazer Charge,new_label
R121,Halo Spartan Lazer Shot,new_label
S07,Offline Deathmatch Tar 33 ?,new_label
SW00,Trumpets star wars,new_label
SW01,Light Saber start up,new_label
SW02,Light saber on,new_label
SW03,Star Wars intro theme song,new_label
SW04,Star Wars theme song,new_label
SW05,Retracting light sabre,new_label
SW06,Saber hit,new_label
SW07,Sabers clash,new_label
SW08,Saber clash,new_label
SW10,Saber swing,new_label
SW11,Saber swing,new_label
SW13,Swinging saber,new_label
SW14,Swinging saber,new_label
SW15,Short saber swing,new_label
SW16,Humming,new_label
SW17,Swing saber,new_label
SW18,Dual saber,new_label
SW19,Multiple saber swings,new_label
SW20,Saber swing,new_label
SW21,Saber swing,new_label
SW23,Blaster saber,new_label
SW24,Saber hit,new_label
SW25,Blaster blocked w saber,new_label
SW26,Weird blaster with follow up bang,new_label
SW28,Swish,new_label
SW29,Explosion,new_label
SW30,Big blaster cannon?,new_label
SW31,Hall choir star wars song,new_label
